原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
中药残余废弃物,无,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.093873370898275
中药残余废弃物,严重,明确可追溯,良,,,0,0,中,高,食品支线,茶渣,优,0.49760196762105113
茶渣,轻度,基本可追溯,优,是,,1,1,高,中,材料主线,茶渣,优/良,9.84487886341632
花生壳/板栗壳,严重,来源不明,优,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,11.337004578048008
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,3.265082733261232
中药残余废弃物,无,明确可追溯,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.4578251461165594
花生壳/板栗壳,无,基本可追溯,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,6.5612359129703295
中药残余废弃物,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,茶渣,差,2.3487123438600634
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.31848550816448
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,中高,食品支线,葡萄籽,优/良,5.197207684392467
中药残余废弃物,无,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.9876687678885783
豆制品/粮食发酵副产物,轻度,基本可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.282351843174788
中药残余废弃物,无,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,1.8934840917065823
花生壳/板栗壳,无,明确可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.482226284912669
花生壳/板栗壳,轻度,来源不明,良,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.6391250013409864
花生壳/板栗壳,严重,基本可追溯,良,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,9.942434889355917
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.499315282702651
中药残余废弃物,严重,明确可追溯,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,1.5624150624075441
中药残余废弃物,轻度,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.7994711660329585
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,否,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,9.754133001984734
豆制品/粮食发酵副产物,无,明确可追溯,良,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,10.505677423232354
花生壳/板栗壳,严重,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.5228280852952945
花生壳/板栗壳,无,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.7806685677684082
茶渣,严重,来源不明,优,否,,1,1,中,高,食品支线,茶渣,优,0.0
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.657487662432768
茶渣,无,来源不明,差,是,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,优,,否,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.165374866864596
茶渣,无,基本可追溯,优,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.364680294536976
豆制品/粮食发酵副产物,严重,来源不明,优,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.363257494099276
豆制品/粮食发酵副产物,轻度,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.909644651204599
茶渣,严重,明确可追溯,良,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.707282628010309
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,是,0,0,高,中高,食品支线,葡萄籽,优/良,2.3356673242082295
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.0
花生壳/板栗壳,无,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.319863357030283
豆制品/粮食发酵副产物,轻度,来源不明,差,,,0,0,高,中高,食品支线,葡萄籽,优/良,2.464507576561639
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,5.955785836310062
花生壳/板栗壳,轻度,基本可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.951137924929949
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,否,0,1,高,中高,食品支线,葡萄籽,优/良,0.15666867925743677
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.3531554018774049
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,差,,是,0,1,中,低,无害化兜底,茶渣,差,5.407901581906821
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.1753582866402805
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,10.12270826344075
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.891104782137065
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.321920211090838
中药残余废弃物,严重,基本可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0
花生壳/板栗壳,严重,明确可追溯,差,,,0,0,中,高,食品支线,茶渣,优,0.0
花生壳/板栗壳,无,来源不明,良,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.124784417249284
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.565889850412946
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,良,,是,0,1,高,低,材料主线,茶渣,优/良/差,7.290793640313714
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,良,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.095678804724164
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.148481137447449
豆制品/粮食发酵副产物,严重,来源不明,优,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.0
花生壳/板栗壳,无,基本可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.693143557029072
茶渣,轻度,来源不明,差,是,,1,0,高,中,材料主线,茶渣,优/良,6.855066658244147
豆制品/粮食发酵副产物,严重,来源不明,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.48829469421716
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,差,,否,1,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0
中药残余废弃物,无,基本可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.516236225982021
茶渣,轻度,来源不明,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.166128319806125
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,9.747068978722215
茶渣,严重,基本可追溯,优,否,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.1025405761382014
中药残余废弃物,无,明确可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.900399001144858
豆制品/粮食发酵副产物,无,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.629946677924105
茶渣,无,明确可追溯,优,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.8578935424883
中药残余废弃物,严重,明确可追溯,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.494543029066575
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,优,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.629876731665308
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,4.962096374686789
中药残余废弃物,无,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.613602815179976
中药残余废弃物,严重,来源不明,差,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.124658081036353
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.648298584799567
茶渣,无,基本可追溯,差,否,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.894042045961281
豆制品/粮食发酵副产物,严重,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,2.150908345279384
花生壳/板栗壳,轻度,基本可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.558136621062807
豆制品/粮食发酵副产物,无,明确可追溯,差,,,1,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,11.435180661393016
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,良,,否,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.416417293447453
花生壳/板栗壳,无,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.309306504793996
茶渣,严重,基本可追溯,优,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.485180025884653
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.406143334373233
花生壳/板栗壳,轻度,基本可追溯,优,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,9.39800538065862
花生壳/板栗壳,无,来源不明,差,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.678424131982441
花生壳/板栗壳,轻度,基本可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.644820792893436
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.369682571636259
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.060223930867751
豆制品/粮食发酵副产物,无,来源不明,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.359914245672813
茶渣,轻度,来源不明,优,否,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.708344711723085
茶渣,严重,来源不明,良,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.131087888762357
豆制品/粮食发酵副产物,无,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.687331174845209
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.813419632936105
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.754070787041218
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,0,1,高,低,材料主线,茶渣,优/良/差,7.462013803879277
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.37907198820236
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,是,1,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,10.237265265564483
茶渣,轻度,明确可追溯,良,是,,1,0,中,高,食品支线,茶渣,优,3.792089478377319
豆制品/粮食发酵副产物,无,明确可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,5.281217590507246
茶渣,严重,基本可追溯,良,否,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.1984177270777232
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,是,1,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,8.560427665484976
茶渣,严重,明确可追溯,良,否,,1,1,高,低,材料主线,茶渣,优/良/差,11.354721018593306
豆制品/粮食发酵副产物,严重,明确可追溯,良,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.754364068775631
茶渣,轻度,来源不明,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.449197290162476
豆制品/粮食发酵副产物,轻度,明确可追溯,优,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.702024409678003
茶渣,无,基本可追溯,良,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.596573259067341
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,否,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.0
花生壳/板栗壳,轻度,来源不明,优,,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.3320388866147246
花生壳/板栗壳,轻度,来源不明,优,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.4195208653003455
花生壳/板栗壳,无,来源不明,良,,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,7.247843209204811
花生壳/板栗壳,严重,基本可追溯,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.668367129158078
中药残余废弃物,无,明确可追溯,差,,,0,1,高,低,材料主线,茶渣,优/良/差,6.882545284763165
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.796204913490262
中药残余废弃物,轻度,来源不明,优,,,0,1,高,中,材料主线,茶渣,优/良,5.737649352200151
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,高,中,材料主线,茶渣,优/良,6.171692391515565
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.880194916773511
豆制品/粮食发酵副产物,轻度,明确可追溯,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.165443120863991
豆制品/粮食发酵副产物,严重,基本可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,7.144531315713589
中药残余废弃物,严重,基本可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.011633643882718037
中药残余废弃物,严重,来源不明,优,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.283884332839246
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,优,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.588872716134718
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.03658554976861
花生壳/板栗壳,轻度,来源不明,差,,,0,1,高,低,材料主线,茶渣,优/良/差,7.225555616652017
中药残余废弃物,严重,来源不明,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.685972599373351
茶渣,轻度,基本可追溯,优,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.152472314692458
花生壳/板栗壳,无,明确可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.646403498026081
花生壳/板栗壳,轻度,明确可追溯,差,,,0,0,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,2.662988850106207
茶渣,轻度,明确可追溯,良,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,6.177038476429395
